Taxa	Mg	Ca	Mn	Fe	Cu	Zn	TKW	PH
TR_68860_E37_1	45.43748344	-16.68310369	10.21024455	2.300216232	-0.150774292	2.978061963	3.193604214	3.245149899
PI_290508_TR04ID_A82_1	-0.717744688	13.94915973	-0.074467525	1.613499122	0.189876206	1.256075675	-0.541686584	0.742156299
TR_68788_E13_1	41.82780225	40.71080214	-0.003885649	2.513013898	0.458407759	5.802794561	-1.602725709	-1.427104821
PI_277135_TR17ID_A86_1	-4.866094095	7.016681369	-4.411944839	-2.740660624	0.03103176	-0.537220693	2.43030566	0.658723179
PI_167526_TR17ID_A7_1	14.87921165	22.91721402	1.324477606	-0.509059575	-0.053102152	2.39175419	0.375895721	0.345848979
PI_355543_TR05ID_A49_1	60.19445863	6.967339615	10.89656277	2.387067618	0.126281954	13.84510947	-2.144072201	2.264810739
GKN_000246_7_1	-21.35767169	57.84572974	1.933670141	1.19037115	0.159397709	-1.799338362	-4.525996768	4.12119766
GKN_000243_4_1	36.17085057	29.12195112	4.477981915	1.937706154	0.121281413	2.348154272	-1.137167725	-2.595168501
GKN_000251_10_1	18.11478203	15.36945231	9.715917999	2.924251225	0.197195393	4.273814784	0.676343024	-2.240577741
GKN_000257_16_1	-4.239778298	-3.854893225	-0.152473881	2.924925305	0.105360408	-1.991533706	-0.553415758	0.992455659
PI_221413_TR01ID_A71_2	-15.45746602	7.817919608	-3.229328606	-1.516434097	-0.126830501	-6.759820251	-0.243946013	-0.634490181
GKN_000255_14_2	-1.06632316	-7.346591383	-1.9460082	0.481601464	-0.087806916	-1.437033465	1.948507281	0.992455659
GKN_000256_15_1	2.707068911	22.41380448	-1.047310309	-1.040253613	-0.08710232	-3.956037054	-1.32934573	1.034172219
PI_352480_TR05ID_A87_1	21.59783768	-15.70656631	3.391655904	1.468595444	-0.02416622	-1.244611295	-0.000340091	-0.613631901
TR_68863_E40_1	-32.33903454	1.377432882	-1.656194485	-0.977042865	0.177560268	-1.363538197	3.404729346	0.095549619
TR_68873_E46_1	14.86120047	-9.224671657	1.861042203	0.43719991	0.000279214	0.523137069	1.569564737	1.743353739
BOLU_124_1	-57.75099131	-35.3577569	-4.232585332	0.075460603	-0.188046742	-7.0706946	0.568073726	1.409621259
TUR_02381_123_1	-51.73700131	-5.058852553	-2.63735827	-0.770782223	0.061151711	-4.379559752	4.108479786	1.743353739
PI_277130_TR16ID_A85_1	12.11299644	34.94362257	1.521009902	0.855932798	0.060810157	8.79072006	-0.598527965	-0.655348461
PI_167589_TR17ID_A9_1	6.514919932	16.28634766	-0.651012664	2.714415256	0.366430063	1.344442878	-1.602725709	0.032974779
GKN_000248_9_1	1.127135605	-5.051959686	-1.730863425	0.825523661	0.313689825	3.997027301	-2.413843203	-0.822214701
PI_355541_TR02ID_A88_1	5.736444042	2.278148454	1.346804348	0.846655013	-0.028147402	0.678513404	0.432737103	-0.092174901
GKN_000267_25_1	42.51827157	19.19497306	1.969506781	1.370616952	0.117038744	4.98233357	-1.218369699	-1.948561821
TR_68823_E22_1	-12.81962601	-27.86193383	-1.166425826	-3.19960467	-0.25247027	-5.686637737	3.458863995	-1.927703541
TR_68855_E35_2	23.60158973	4.070572756	4.348556401	0.333515777	0.270476066	-0.019904408	2.267901712	-1.093372341
PI_352484_TR13ID_A108_1	-3.788295471	-24.65292819	-1.106551088	-1.319228062	-0.040449213	-0.245262543	1.786103334	2.243952459
PI_352475_TR07ID_A45_1	25.07210886	9.092581219	-1.034267407	0.256481099	0.154806064	1.519432631	-1.166941782	-0.759639861
BOLU_124_2	-39.83847274	-32.85489051	-2.996659924	-2.257336577	0.080912808	-6.140477814	3.83780654	0.804731139
TUR_02407_115_1	3.078231587	-4.621097277	0.709184436	-0.64890486	0.255478227	2.030906499	1.591218596	-2.595168501
PI_191095_TR17ID_A61_2	-17.2052611	-16.24475484	-2.36943963	-1.649974277	0.061897011	-2.392120257	1.943093817	-2.178002901
TR_68796_E16_1	-24.20560799	-23.1707164	-3.063476802	-0.610278262	-0.053456356	-2.592764348	2.922930968	-2.219719461
PI_192063_TR17ID_A56_2	17.43218379	0.143580568	-1.509912471	-0.397230137	-0.019538962	3.717599532	0.26491969	-1.114230621
TR_68791_E14_1	-5.36452295	17.99205799	2.117057957	0.871822676	0.049720303	1.468352183	0.024020501	-0.571915341
GKN_000242_3_1	-14.45406359	-11.33707992	2.039344603	-0.107411236	-0.142115269	-2.064138777	0.080861883	0.617006619
PI_542473_TR00ID_A41_1	-44.65340678	-36.48984156	-3.210247342	-2.423886818	-0.366350637	-8.857402679	0.294693747	-0.008741781
GKN_000246_7_2	11.14558241	-6.0402505	2.739771049	-0.122421091	0.138569147	3.173711828	2.566544527	-1.614829341
PI_355529_TR17ID_A55_1	-5.267845355	-30.32923979	-2.055860829	-1.019275794	-0.2123842	-2.30893889	-1.004537835	-2.094569781
PI_573524_TR04ID_A38_1	0.199489717	-33.34001601	-1.949521839	-0.358150565	0.510313057	-2.957084533	1.702194627	0.470998659
GKN_000253_12_1	-2.058324912	14.92315936	4.421062594	0.16277073	0.143311873	-0.378806192	-1.705581542	-2.219719461
TR_68994_E50_1	-14.96564281	-10.75570777	2.014744383	-1.229104061	0.014520829	-1.360937622	-0.758225181	-2.219719461
GKN_000241_2_2	7.994126462	22.82284823	3.590865389	0.855443056	0.067898493	1.259644268	2.24354112	1.409621259
TR_68865_E42_1	-18.89043744	-18.11206581	-3.292309547	-1.340173707	-0.253526216	-1.809472404	1.458588706	-0.113033181
TR_68835_E28_2	2.553387855	-9.029263972	-0.472511076	0.086887056	-0.075905554	-1.659714361	-0.243946013	0.637864899
GKN_000248_9_2	-9.836114991	-4.650861966	-2.816030595	-0.006678658	0.057859619	-3.698485286	2.027002523	-0.175608021
